Path no.	a	b	c	E_P	R_P	I_P	E	crash	S	Length	No. pixel
238.0	0.16991304429807913	0.21945113544484324	0.6106358202570775	83.66443737059042	0.6824846095631384	39.36868080199474	125742.10498561387	0.2344650074035607	0.817737588879654	1249.4067897401237	216.0
240.0	0.12067978194866265	0.15586393194986448	0.723456286101473	87.25479210076206	0.7317948907793133	38.540404823429526	131138.1702148236	0.24932813258104802	0.8256090279482827	1302.8345756269823	221.0
241.0	0.30603643517366125	0.5104995419159752	0.1834640229103635	69.16852816331989	0.022635415216389187	53.28901224116328	103955.7140806143	0.008766372480148776	0.698932134230716	1049.7673863262567	177.0
242.0	0.29049802290662763	0.4845799080661005	0.2249220690272719	72.5561467747698	0.005980043510701679	48.030539456639076	109047.08035856274	0.002321491104334994	0.7536895412480047	1100.0073472620265	195.0
244.0	0.2525475607518618	0.4212747217587451	0.3261777174893931	74.23345052020626	0.006070567021035083	46.301358662638336	111567.95673423502	0.0023565914137625432	0.7661547542290993	1124.1695705576458	198.0
245.0	0.2306166118319001	0.38469169408404996	0.38469169408404996	81.50384496879167	0.3992623247833323	40.616031613953055	122494.87778662241	0.14424476404646003	0.8084149452172026	1218.5062333853803	212.0
246.0	0.20735981239767612	0.3458970144542669	0.44674317314805695	82.7380255688388	0.6396774977621218	39.768263903267325	124349.76944022822	0.22142563211997324	0.8141669911062275	1235.9301236218757	214.0
247.0	0.18346402291036354	0.3060364351736613	0.5104995419159754	83.38339699214198	0.6139473170828055	39.503108587868155	125319.7199211506	0.2134998085799158	0.8171152380191289	1245.4595656218758	216.0
248.0	0.15969557676781268	0.26638827739486154	0.5739161458373259	83.82743545160177	0.5828356072061265	39.36868080199474	125987.08029960777	0.20387746938577012	0.818577507824909	1252.197898681	217.0
249.0	0.13680471895193547	0.2282040251752266	0.634991255872838	85.83741366194967	0.5723666879774121	38.855126526958884	129007.94434994325	0.20062948373709877	0.8225793309271283	1281.4634612722389	219.0
